American Chartered Bank,Schaumburg,IL,60173,6/30/16,NM,2774526,2522300,15997,2010949,616,32140,524044,1229,2148,540,6
American City Bank of Tullahoma,Tullahoma,TN,37388,6/30/16,NM,273928,218429,3180,234029,12656,9823,54782,495,256,5425,69
American Commerce Bank  National Association,Bremen,GA,30110,6/30/16,N,211161,187029,904,173959,1151,2990,33234,106,142,2396,31
American Continental Bank,City Of Industry,CA,91748,6/30/16,NM,201359,173899,942,142729,0,102,33448,12,144,0,0
American Eagle Bank,South Elgin,IL,60177,6/30/16,NM,189845,173038,930,167551,95239,226,9588,8,24,0,0
American Enterprise Bank,Buffalo Grove,IL,60089,6/30/16,NM,209056,186227,-1184,141043,10,588,29559,17,131,0,0
American Exchange Bank,Henryetta,OK,74437,6/30/16,NM,61889,54491,759,44815,6552,9544,0,230,0,5036,239
American Express Bank   FSB.,Salt Lake City,UT,84184,6/30/16,SA,49813222,42332854,2015419,32266278,11901478,20345452,0,2975413,0,0,0
American Federal Bank,Fargo,ND,58102,6/30/16,SA,552991,502409,2871,467229,7512,3010,25188,101,122,88948,671
American First National Bank,Houston,TX,77036,6/30/16,N,1231003,1073019,9039,1001183,4114,3733,187823,89,552,122,1
American Founders Bank  Inc.,Louisville,KY,40223,6/30/16,NM,96651,84285,-388,73919,139,355,10235,12,36,84,1
American Heritage Bank,Sapulpa,OK,74066,6/30/16,SM,1074813,970217,5053,403154,40773,17025,41112,878,254,9614,232
American Interstate Bank,Elkhorn,NE,68022,6/30/16,NM,104428,89030,1083,85835,1000,2223,22712,93,87,3795,29
American Investors Bank and Mortgage,Eden Prairie,MN,55344,6/30/16,SA,93684,85964,9,72380,415,0,0,0,0,0,0
American Loan and Savings Association,Hannibal,MO,63401,6/30/16,SA,4174,3840,-132,3067,7,0,0,0,0,0,0
American Metro Bank,Chicago,IL,60640,6/30/16,NM,62639,55245,618,47370,0,717,17348,12,56,0,0
American Momentum Bank,College Station,TX,77845,6/30/16,NM,1110044,911634,5485,947271,1256,4912,84296,142,298,2764,12
American Nation Bank,Ardmore,OK,73401,6/30/16,SM,376393,336200,3009,209212,21146,6600,44245,250,178,23422,395
American Patriot Bank,Greeneville,TN,37745,6/30/16,NM,59830,58584,-111,38383,950,2086,7836,82,55,3147,49
American Plus Bank  N.A.,Arcadia,CA,91007,6/30/16,N,439823,387777,2467,384901,0,1964,47249,39,98,0,0
American Pride Bank,Macon,GA,31204,6/30/16,NM,139017,112896,974,104379,318,1214,29220,33,82,829,4
American River Bank,Sacramento,CA,95815,6/30/16,NM,626952,543103,2856,310288,315,7475,58570,262,196,824,4
American Riviera Bank,Santa Barbara,CA,93101,6/30/16,NM,428254,380150,1606,358233,1655,5137,68892,114,224,544,2
American Savings Bank,Tripoli,IA,50676,6/30/16,NM,52644,42094,474,24835,951,617,6028,23,21,6618,92
American State Bank,Sioux Center,IA,51250,6/30/16,NM,800599,703273,7250,726549,15281,8190,63637,332,259,85604,777
American Trust and Savings Bank,Dubuque,IA,52001,6/30/16,SM,1034031,918383,4108,831157,23917,11431,87145,509,503,44814,523
Americana Community Bank,Sleepy Eye,MN,56085,6/30/16,NM,119749,113016,-59,70329,613,2892,20459,102,82,17024,175
Americas United Bank,Glendale,CA,91203,6/30/16,NM,222708,196231,446,186012,0,348,26332,11,85,0,0
AmeriFirst Bank,Union Springs,AL,36089,6/30/16,NM,147746,131981,268,99518,3891,5286,23463,213,124,624,15
Ameriprise National Trust Bank,Minneapolis,MN,55402,6/30/16,N,25640,1307,117,0,0,0,0,0,0,0,0
Ameris Bank,Moultrie,GA,31768,6/30/16,NM,6220168,5465574,35216,4725888,40632,68985,762649,3223,3429,98250,1379
