name,city,stalp,zip,repdte,number_of_employees,asset,liabilities,deposits,common_stock,derivatives,total_securities,asset_backed_securities,mortgage_backed_securities,1_4_family_residential_loans,home_equity_loans,adjustable_rate_loans_secured_by_1-4_family_residential,total_loans,individual_loans,micro_amount,micro_number,small_business_amount,small_business_number,agg_amount,agg_number,other_real_estate_owned,real_estate_acquired,other_real_estate_owned_1-4_family,other_real_estate_owned_multi-family_residential,other_real_estate_owned_commercial_real_estate,other_real_estate_owned_construction_development,other_real_estate_owned_farmland,foreclosed_properties_from_GNMA_loans,total_deposits,net_interest_margin,noninterest_income_to_average_assets,noninterest_expense_to_average_assets,loan_and_lease_loss_provision_to_assets,net_operating_income_to_assets,roa,roe,retained_earnings_to_average_equity,net_charge_offs_to_loans,net_loans_and_leases_to_total_assets,net_loans_and_leases_to_deposits,net_loans_and_leases_to_core_deposits,total_domestic_deposits_to_total_assets,average_total_assets,average_earning_assets,average_equity,average_total_loans,number_domestic_offices,number_of_offices_in_insured_other_areas,cbsa_metro
Lake Area Bank,Lindstrom,MN,55045,6/30/16,95,300646,269643,228644,120,15080,86427,0,40983,61579,9232,12623,175327,1129,6039,149,44684,193,315,5,6732,6732,599,0,3661,2472,0,0,228644,3.61088368,2.613143039,4.822205939,-2.47E-02,1.061639955,1.094240784,10.66889632,1.859531773,-2.54E-02,57.36879919,75.43473697,77.58923952,76.05090372,291526.33,262595,29900,165140,5,0,33460
Lake City Bank,Warsaw,IN,46581,6/30/16,531,3924776,3490071,3404308,2182,196063,500820,0,361084,334205,159045,85094,3202006,52388,210412,7461,748165,1948,111731,631,238,238,31,0,132,75,0,0,3404308,3.251272072,0.777608405,1.785582517,0,1.366652522,1.367766976,12.3619579,6.949644604,2.32E-02,80.48252945,92.78710974,119.9052604,86.73891198,3826090.33,3605788.67,423331,3133905,50,0,
Lake City Federal Bank,Lake City,MN,55041,6/30/16,17,72137,64382,58430,0,0,9102,0,6429,32092,1445,0,52798,2053,1592,61,3390,22,6929,93,648,648,94,0,417,137,0,0,58430,3.416440413,0.307231438,2.84835128,0,0.399113738,0.399113738,3.647016072,3.647016072,-4.65E-02,71.57076119,88.36043129,88.36043129,80.99865534,69654.33,64628.67,7622.67,51572.33,1,0,40340
Lake Community Bank,Long Lake,MN,55356,6/30/16,17,113062,97737,97425,96,0,18184,0,10800,12289,3796,7518,82876,1340,1517,126,14320,79,0,0,994,994,0,0,627,367,0,0,97425,3.741671445,0.583365388,2.347351204,0,1.250224947,1.296946264,9.881168041,-0.701073502,-7.30E-02,72.06753816,83.63459071,86.00303983,86.1695353,115193.67,110164.67,15119.67,82154,1,0,33460
Lake Country Community Bank,Morristown,MN,55052,6/30/16,8,27002,24431,23814,175,0,315,0,0,8385,297,0,19309,752,873,28,3059,19,663,13,118,118,23,44,0,51,0,0,23814,5.264488628,0.24343382,3.945059851,-0.214794547,0.809059461,0.809059461,8.952870663,8.952870663,-0.124898065,70.46885416,79.90257832,81.52527849,88.19346715,27933.67,25035.67,2524.33,19215.67,2,0,
Lake Elmo Bank,Lake Elmo,MN,55042,6/30/16,76,331623,301261,295879,100,0,93040,0,34097,85407,19581,19328,197360,6968,6869,316,48932,204,1272,5,775,775,744,0,0,31,0,0,295879,3.298824589,0.790514638,2.74184734,-0.462109102,0.689466781,0.689466781,7.463400823,2.12763616,-8.38E-02,58.5707264,65.64642979,67.23388936,89.22149549,324598.67,303562.67,29986.33,193319.67,6,0,33460
Lake Federal Bank  FSB,Hammond,IN,46323,6/30/16,17,62517,48495,47964,0,0,2304,0,292,45113,3759,7818,46456,215,46,1,906,4,0,0,0,0,0,0,0,0,0,0,47964,3.300945962,0.115104637,4.439305869,3.73E-02,-1.315925986,-1.315925986,-5.918289824,-5.918289824,0.2959849,73.97827791,96.42440163,99.59086113,76.72153174,64289.33,59316.33,14294.67,46624,3,0,16980
Lake Forest Bank and Trust Company,Lake Forest,IL,60045,6/30/16,411,3149107,2824919,2533043,8264,5246673,222949,0,14964,203729,116620,46995,2238426,145821,140090,40663,299238,1224,412,1,1545,1545,72,0,0,1473,0,0,2533043,3.251673104,2.367636068,2.318198241,0.185085416,1.678535417,1.692394351,16.12231134,16.12231134,0.193662532,70.54047385,87.69669524,106.6957574,78.44230126,2937022.33,2535002.67,308305.67,2138772,7,0,16980
Lake National Bank,Mentor,OH,44060,6/30/16,28,156575,142212,139712,1100,2988,1930,0,0,44446,10116,14864,124578,1260,6781,193,48177,161,0,0,667,667,519,0,148,0,0,0,139712,3.949620306,0.276360819,2.708077743,0.46490605,0.525602118,0.525602118,5.708006707,2.622597676,1.45E-02,78.15232317,87.58517522,109.2621033,89.23008143,154870,144317.67,14260.67,124284.67,2,0,17460
Lake Region Bank,New London,MN,56273,6/30/16,37,106560,96453,91906,650,0,29658,0,7423,8590,565,320,61401,4603,5498,177,25750,123,3650,47,473,473,0,0,163,310,0,0,91906,3.506213231,1.570263796,4.216380499,4.81E-02,0.596255828,0.755504279,8.381842218,5.9782257,3.76E-02,57.15746997,66.27097252,66.27097252,86.24812312,108007.33,101477,9735.33,58494.33,3,0,
Lake Shore Savings Bank,Dunkirk,NY,14048,6/30/16,109,480276,407947,380042,0,0,94979,1236,41118,200230,33543,14185,317285,1253,5259,251,27934,122,0,0,766,766,303,0,463,0,0,0,380042,3.405981822,0.445980506,2.815304438,7.77E-02,0.558966434,1.124609977,7.533123027,7.533123027,7.17E-02,65.63413537,82.94477979,87.19241663,79.12991696,476254,441517.33,71099.33,306708.67,11,0,
Lake Sunapee Bank  FSB,Newport,NH,3773,6/30/16,342,1591585,1415486,1154795,1,31425,157424,0,75635,765665,76902,389158,1247402,5471,16330,692,179676,837,586,10,335,335,87,0,248,0,0,0,1154795,3.199695654,1.183022075,2.972517958,2.57E-02,0.722363991,0.827254933,7.439935172,3.974664947,5.53E-02,77.82518684,107.2618084,117.3488983,72.55628823,1557198.33,1400195.67,173146.67,1232789,35,0,
Lake-Osceola State Bank,Baldwin,MI,49304,6/30/16,61,222672,202310,188319,1000,0,20692,0,4414,70501,3891,22813,178127,29608,5788,183,41792,184,199,3,322,322,105,0,217,0,0,0,188319,4.1940994,0.77300094,3.12521144,3.32E-02,0.996230329,0.996230329,10.78813305,7.192088702,0.107302188,79.16307394,93.603938,98.81051145,84.57237551,216817.33,197706.33,20022,171478.33,9,0,
Lakeland Bank,Newfoundland,NJ,7435,6/30/16,585,4457897,3988464,3544025,8490,164458,580565,0,348135,841160,243912,118801,3457845,19988,24076,779,442852,1366,463,3,1594,1594,1026,0,568,0,0,0,3544025,3.549228307,0.441799912,2.306154962,9.84E-02,0.8716524,0.883175153,8.440757535,4.340110622,0.140444045,76.87880631,96.70298601,101.0765405,79.49993012,4238570.33,3913188.67,443491,3263933.33,54,0,35620
Lakeside Bank,Chicago,IL,60601,6/30/16,144,1320875,1149928,1092367,2230,5897,41734,0,3808,146799,32738,16715,1077469,603,4535,136,195890,531,0,0,3308,3308,1755,0,1128,425,0,0,1092367,3.970325717,0.185792516,1.72759078,0,2.202946214,2.202946214,16.79132279,5.061907124,0.062076894,79.53038705,96.1670391,131.3934247,82.70025551,1287457.67,1226247,168908.67,1066419.33,6,0,16980
Lakeside Bank,Lake Charles,LA,70606,6/30/16,28,166437,144017,143515,2089,0,42081,0,5296,26011,4064,1266,95610,4052,4013,150,18339,75,337,2,0,0,0,0,0,0,0,0,143515,3.466758176,0.173375187,2.605653174,0.140710297,0.440976019,0.440976019,3.161450124,3.161450124,0,56.64065082,65.6872104,74.92112186,86.22782194,159192.33,150688.33,22205,93173,3,0,29340
Lakeside Bank of Salina,Salina,OK,74365,6/30/16,13,32584,28617,28473,150,0,3590,0,16,11896,0,8838,24668,8404,569,26,2690,12,385,23,122,122,122,0,0,0,0,0,28473,6.081359908,1.015572106,4.025358528,0.184649474,1.446420878,1.446420878,12.03070646,5.733783504,8.30E-03,73.45936656,84.06560601,84.96077805,87.38337835,32494,29006.67,3906.67,24101.67,1,0,
Lakeside National Bank,Rockwall,TX,75087,6/30/16,11,61964,56214,56124,320,0,12922,0,10,10185,426,6154,23916,2690,1989,109,6919,38,94,3,777,777,282,0,0,495,0,0,56124,2.740687511,0.444334756,2.476039329,0.235046646,0.325201524,0.325201524,3.537033794,3.537033794,0.420409538,38.18184752,42.15487136,44.07660637,90.57517268,62115.33,59839,5711,23786.33,1,0,19100
Lakeside State Bank,Oologah,OK,74053,6/30/16,21,68391,61560,60854,724,0,35498,0,5784,9886,139,9080,25305,7329,1641,93,1709,13,1668,83,65,65,55,0,10,0,0,0,60854,4.037621804,1.211119459,3.630353118,0.126220887,1.081893313,1.181066867,12.21697725,10.16527114,0.125084676,36.58229884,41.11315608,43.00644607,88.97954409,66550,59787.67,6433.67,25582.67,2,0,46140
Lakeview Bank,Lakeville,MN,55044,6/30/16,13,74198,67368,66226,100,0,5961,0,3356,23633,2447,1827,55277,1564,2581,104,13423,89,596,2,493,493,0,0,270,223,0,0,66226,4.650314053,0.710383078,3.281154629,0.145570303,0.966586812,0.966586812,9.901093445,3.191015056,2.15E-02,73.50871991,82.3573823,83.60592915,89.25577509,68695.33,63952.67,6706.33,55744.33,2,0,33460
Lamar Bank and Trust Company,Lamar,MO,64759,6/30/16,30,142228,128491,124018,150,0,32759,0,23515,31792,697,25946,98177,2801,2809,133,4414,22,14800,355,40,40,40,0,0,0,0,0,124018,3.703954242,0.773687965,2.367911057,0.227137751,1.676560527,1.676560527,17.5936085,0.610785731,0.383930381,68.27347639,78.29831154,87.67459708,87.19661389,140883.67,133047,13425.33,93767,1,0,
Lamar National Bank,Paris,TX,75460,6/30/16,41,139207,122690,120013,1000,0,19685,0,6681,39812,0,32303,85692,8119,6443,271,11573,68,10188,130,36,36,15,0,0,21,0,0,120013,4.096898604,0.736491648,3.165040428,4.76E-02,1.176080596,1.37785913,11.75481858,5.914296798,3.45E-02,61.00986301,70.76733354,73.75917322,86.21190026,138766,123703.33,16265.67,81183,1,0,
Lamont Bank of St. John,Saint John,WA,99171,6/30/16,5,42932,37645,37412,50,0,25906,0,16169,41,0,0,11804,1915,1280,17,0,0,8514,87,0,0,0,0,0,0,0,0,37412,2.931491814,0.01339176,1.339176009,0,1.073126376,1.160619208,10.2638399,8.290024535,8.02E-02,26.85875338,30.8216615,30.8216615,87.14245784,44803.67,43732,5066.33,9970.67,1,0,
Landmands Bank,Audubon,IA,50025,6/30/16,18,63190,57225,56938,111,65,3724,0,2343,2566,21,0,52281,1540,1779,78,3106,25,38783,644,0,0,0,0,0,0,0,0,56938,3.92188337,1.128022372,3.384067115,3.08E-02,1.16808874,1.16808874,12.72382091,-1.712176428,3.68E-03,81.68855832,90.65825986,99.49883382,90.10602944,64892.33,58186.33,5957.33,54340,2,0,
Landmark Bank,Clinton,LA,70722,6/30/16,40,112402,100402,100265,394,0,26522,0,8244,29491,0,896,70499,2508,5158,191,13229,49,3180,46,340,340,340,0,0,0,0,0,100265,3.956226926,0.550865325,3.367994186,7.54E-02,0.771570325,0.771570325,7.294731762,2.88396372,0.188669196,61.99711749,69.50182018,70.78529564,89.20214943,111461,103229.67,11789.33,68903.67,3,0,12940
Landmark Bank   National Association,Columbia,MO,65201,6/30/16,691,2584520,2342279,2215965,11691,5594,868431,0,197462,457400,40219,138206,1559012,70189,38179,1691,190581,917,108322,1807,1400,1400,318,0,344,738,0,0,2215965,3.633285439,1.370763511,3.24498646,8.66E-02,1.144154877,1.14453804,12.48728073,9.486083253,7.25E-02,59.41602309,69.29798079,86.94312305,85.73990528,2505465,2334306,229641.67,1506460,40,0,17860
Landmark Bank  National Association,Fort Lauderdale,FL,33308,6/30/16,49,412118,359494,329330,1546,0,1092,0,1092,50051,6955,34191,332968,440,2071,54,55496,127,0,0,0,0,0,0,0,0,0,0,329330,4.040681074,0.156949384,2.467204327,1.175121023,0.229925849,0.229925849,1.766818383,1.766818383,0.667686579,79.21274975,99.12549722,102.935612,79.91157872,400129,376718.67,52071,325302.33,8,0,33100
Landmark Community Bank,Collierville,TN,38017,6/30/16,76,861661,789151,680631,0,60000,83558,0,31152,566036,25373,305560,721140,10834,2293,80,58569,196,36,2,150,150,150,0,0,0,0,0,680631,3.15303347,0.341415223,1.732540785,0.200416395,0.966714374,0.934647751,11.16111495,8.703079288,0.082715211,82.83303991,104.8644567,168.8514158,78.9905775,848234,811789.67,71032.33,693947.33,8,0,32820
Landmark Community Bank,Pittston,PA,18640,6/30/16,53,298391,270122,245677,1538,0,57667,0,15002,36826,6295,132,224839,10174,5489,208,71956,315,0,0,909,909,111,0,798,0,0,0,245677,3.521234956,0.368707942,2.985234615,0.231896089,0.391965957,0.391965957,4.119882098,1.775935215,0.23630021,74.32965471,90.27829223,100.4142558,82.33391758,292372.33,273370,27816.33,219212.67,4,0,42540
Landmark Community Bank  National Association,Isanti,MN,55040,6/30/16,23,80073,70937,65791,65,0,12598,0,2323,11706,850,2274,49041,382,879,44,22863,78,2150,6,802,802,0,0,559,0,243,0,65791,3.785261906,0.362695553,3.435935875,-0.783422395,0.83765747,0.853543536,8.028201046,8.028201046,-0.917088079,60.26375932,73.34589838,74.51473926,82.16377555,82714,75080.67,8794,51685.33,4,0,33460
Landmark National Bank,Manhattan,KS,66502,6/30/16,268,893811,785814,719219,2000,76415,355536,0,91501,152278,12830,49441,445773,3428,12314,569,75706,326,46783,694,718,718,637,0,81,0,0,0,719219,3.349947191,1.617378955,3.13145857,0.078940543,1.049629547,1.087349594,9.305752455,7.433406493,0.280700909,49.24094691,61.19429548,63.38978754,80.46656396,886743.33,798997.67,103613.33,441751.33,29,0,31740
Laona State Bank,Laona,WI,54541,6/30/16,38,172373,151710,150952,169,0,48400,0,9725,59281,2462,21315,108438,5735,5751,222,21222,133,11167,140,566,566,343,0,180,0,43,0,150952,3.330643214,0.19632313,2.057968627,1.71E-02,0.877747019,0.877747019,7.674267751,7.674267751,5.60E-02,62.26265134,71.09809741,79.13698772,87.57287974,175221.33,162731.33,20041,107179.33,7,0,
Lapeer County Bank & Trust Co.,Lapeer,MI,48446,6/30/16,97,327978,289833,287581,1531,0,131416,0,58311,52612,9934,1402,169383,3425,5323,168,60616,214,333,6,592,592,77,0,515,0,0,0,287581,3.420663358,1.037365509,3.093790077,0,0.840113509,0.885421973,7.756523217,3.378444296,2.59E-02,50.9961034,58.15961416,63.06858675,87.68301532,327753.33,304210,37413.67,169901.67,7,0,19820
Latimer State Bank,Wilburton,OK,74578,6/30/16,9,79512,65770,65725,370,0,10752,0,0,4379,0,74,14124,1612,6760,89,0,0,942,36,77,77,77,0,0,0,0,0,65725,2.038857266,0.144372018,1.352537851,0,0.70159735,0.70159735,4.037312345,0.830782685,0.316274452,17.58225174,21.27044504,25.11452439,82.66047892,78962.67,73963,13722,14544.33,1,0,
Laura State Bank,Williamsfield,IL,61489,6/30/16,2,17522,15733,15728,70,0,1000,0,0,1268,19,0,5815,1429,850,26,0,0,1871,64,0,0,0,0,0,0,0,0,15728,2.31670066,0.324746983,2.381477875,0,0.12027666,0.12027666,1.130793195,1.130793195,0,32.55336149,36.26653103,36.26653103,89.76144276,16628.33,15625.67,1768.67,5834.33,1,0,
Laurens State Bank,Laurens,IA,50554,6/30/16,15,64262,56568,56038,167,0,19208,0,144,5415,0,0,29170,1753,4404,65,0,0,9001,76,0,0,0,0,0,0,0,0,56038,3.062167415,0.342890382,1.996111868,0,1.236854593,1.236854593,10.68076669,-3.727693325,1.36E-02,44.83209362,51.41154217,51.9211361,87.20239022,65327,62766,7565,29319.67,3,0,
Lawrenceburg Federal Bank,Lawrenceburg,TN,38464,6/30/16,13,58525,44914,43733,0,0,0,0,0,48786,0,39975,51202,1788,0,0,0,0,0,0,709,709,490,0,0,219,0,0,43733,3.868440927,0.316063694,3.000868481,-8.34E-02,0.729377756,0.729377756,3.110880676,3.110880676,1.58E-02,87.13712089,116.6098827,118.2100554,74.72533106,57583.33,53613.33,13501,50635,1,0,
Lawson Bank,Lawson,MO,64062,6/30/16,34,125455,112431,112343,140,0,42191,0,7768,16182,2285,1478,52938,1671,1031,54,12056,46,2346,34,737,737,0,0,0,737,0,0,112343,3.349514226,0.513049404,2.884692873,0,0.616304629,0.616304629,6.282378094,6.282378094,-1.54E-02,41.45709617,46.29571936,49.43070577,89.54844367,123964.67,110762.33,12161,51908.67,4,0,28140
Layton State Bank,West Allis,WI,53227,6/30/16,34,122966,110429,107584,1603,2901,11342,0,5183,12338,2863,2292,90806,185,886,29,9848,42,0,0,2637,2637,962,1161,370,144,0,0,107584,3.974167719,0.447705521,3.928778162,0,-6.65E-02,-6.65E-02,-0.641259747,-6.8974524,6.28E-02,73.03726233,83.47988548,85.88436675,87.49085113,123295.33,104726.33,12787.33,92306.67,4,0,33340
LCA Bank Corporation,Park City,UT,84060,6/30/16,9,157938,139406,130722,1,0,1303,0,0,0,0,0,149800,0,124,6,2180,20,0,0,0,0,0,0,0,0,0,0,130722,6.516411627,0.202596728,2.304374397,1.363279918,1.884803108,1.884803108,16.11773773,14.03875075,1.301874063,92.6768732,111.9719711,11013.69451,82.76792159,153013.33,152200.33,17893.33,146404.33,1,0,
LCNB National Bank,Lebanon,OH,45036,6/30/16,289,1311518,1167444,1125176,10560,0,391737,0,48275,267083,34018,89450,800464,18638,9579,310,128993,482,21583,199,682,682,0,0,682,0,0,0,1125176,3.379075404,0.737529802,2.518190544,7.52E-02,0.895027402,0.967582128,8.847678369,2.194224236,6.20E-02,60.77621504,70.84145058,72.20157974,85.79188391,1291880,1176475.67,141280,783372,36,0,17140
Lea County State Bank,Hobbs,NM,88241,6/30/16,60,295767,258253,251747,2431,2643,209851,0,56140,2993,15,0,61961,10576,1804,129,11441,41,295,3,27,27,27,0,0,0,0,0,251747,2.685192896,0.666726792,2.340224402,0.040083775,0.825057704,1.418297575,12.62926331,10.90411665,-3.33E-02,20.54826941,24.14130059,26.85167185,85.11666278,299373,283033.67,33620.33,60030.33,3,0,
Lead Bank,Garden City,MO,64747,6/30/16,47,163514,150294,136207,60,0,5884,0,5377,29110,1568,7240,134843,1326,4113,174,30174,127,5581,109,11,11,11,0,0,0,0,0,136207,4.783429158,2.302369336,5.847125227,8.67E-02,0.637775439,0.637775439,7.740135777,7.740135777,1.414065907,81.91714471,98.34002658,106.3772674,83.29990093,156795,137976.33,12919.67,128424,3,0,28140
Leader Bank  National Association,Arlington,MA,2476,6/30/16,262,1121318,1013675,826246,1,1246702,30313,0,10675,539134,103676,169827,988264,747,5281,194,88507,277,0,0,0,0,0,0,0,0,0,0,826246,3.273756042,2.243609431,2.828915459,5.94E-02,1.480480402,1.48867163,14.43143739,-10.13885791,9.15E-03,87.49400259,118.7401815,143.9321275,73.68525253,1046973.67,977348.33,108000.33,918237.67,7,0,14460
Ledyard National Bank,Norwich,VT,5055,6/30/16,111,461618,419060,384557,1048,12680,127958,0,34756,121284,18976,28518,277667,14740,4396,139,43643,184,0,0,0,0,0,0,0,0,0,0,384557,3.073062318,2.170787688,3.997501133,0,0.828537808,0.932471958,10.17574987,4.421320162,1.09E-02,58.91776317,70.72423594,72.12622188,83.30632688,455134.33,421599,41707,276438.67,9,0,
Lee Bank,Lee,MA,1238,6/30/16,76,320509,290780,229200,1100,0,29530,0,1432,160663,47627,91656,266038,539,7224,308,57686,252,0,0,1082,1082,231,0,729,122,0,0,229200,3.474836274,1.025768421,4.03738408,4.11E-02,0.136634375,0.243809489,2.620620687,1.262786134,4.03E-02,82.14340315,114.867801,119.6697318,71.51125241,316640.67,292848.33,29458.67,263079.67,5,0,38340
Lee Bank and Trust Company,Pennington Gap,VA,24277,6/30/16,51,155928,134434,132759,200,0,17815,0,1139,36487,804,11076,110112,9512,4500,237,25064,69,3763,173,2439,2439,709,0,1331,399,0,0,132759,4.285734335,0.294866019,3.117155056,0.446766695,0.48633746,0.48633746,3.576401943,3.576401943,-0.235683415,69.17295162,81.24496268,95.7139054,85.14121902,156681.33,143219.33,21306.33,112014.67,4,0,
Lee County Bank & Trust  National Association,Fort Madison,IA,52627,6/30/16,32,150809,132579,116714,475,0,2,0,2,58285,2502,0,110088,4374,1425,63,12175,87,6053,54,0,0,0,0,0,0,0,0,116714,3.679370389,0.56253971,2.57470098,0,1.476666739,1.476666739,12.20657277,7.411133467,-2.63E-02,71.90154434,92.90573539,93.70943628,77.39193284,147900.67,143176.67,17892,106380.67,3,0,
Legacy Bank,Hinton,OK,73047,6/30/16,171,423325,385234,383003,250,0,6145,0,1958,48351,0,28307,369526,3444,9752,371,51898,270,16834,338,12616,12616,0,0,2970,9646,0,0,383003,5.117811039,1.480446025,5.489968121,3.97E-02,0.497787866,0.690167421,7.947934653,5.907823084,-3.58E-02,85.99468493,95.04808056,95.87944648,90.47493061,433518,385164.67,37645,362898.33,11,0,
Legacy Bank,Wiley,CO,81092,6/30/16,49,294436,250556,243748,125,0,51859,0,22851,30067,1860,13633,203897,1865,3567,165,35873,169,13556,139,935,935,0,0,0,935,0,0,243748,4.051372923,0.177813783,2.085021077,0.16202337,1.603756745,1.624352936,11.09782124,9.338868172,5.68E-02,68.3724137,82.59062638,104.2688959,82.78471383,291316,264108,42639,204140.33,9,0,
Legacy Bank,Altoona,IA,50009,6/30/16,29,98387,91340,91039,189,1967,10972,0,0,26224,1489,3698,67842,2951,5164,157,19711,93,5294,71,1608,1608,460,0,221,927,0,0,91039,3.687081272,0.923684621,4.231668743,3.09E-02,0.139889876,0.139889876,1.945728482,1.945728482,9.60E-02,67.98967343,73.47730094,74.29666241,92.53153364,97219.33,91725.67,6989.67,66680.67,4,0,19780
Legacy Bank,Colwich,KS,67030,6/30/16,78,333681,301072,262372,1049,0,37594,0,0,73379,8160,1838,247850,2633,4606,148,37442,156,3376,54,3291,3291,2500,0,791,0,0,0,262372,3.737029724,0.574493485,2.609647477,0.372276725,0.686671222,0.692607861,6.983632112,4.82618862,0.299330975,73.44289906,93.40364063,109.8980685,78.62958934,323415.33,301844,32075,245881.67,6,0,48620
Legacy Bank & Trust Company,Rogersville,MO,65742,6/30/16,45,153723,138617,114135,250,0,2777,0,1781,46098,2506,11053,136887,2920,4735,182,19023,79,33379,469,93,93,93,0,0,0,0,0,114135,4.708803066,0.515132864,2.97305253,0.208729161,1.024913699,1.024913699,10.4172829,10.4172829,0.160035836,87.78712359,118.2362991,127.8047164,74.24718487,149476,134004.33,14706.33,132470.33,4,0,44180
Legacy Bank of Florida,Boca Raton,FL,33431,6/30/16,46,316730,282082,249068,13928,0,55189,0,0,27232,4889,16760,240745,262,1647,42,32250,104,0,0,1242,1242,0,0,0,1242,0,0,249068,3.633441248,8.32E-02,2.741208052,0,0.450926696,0.486845041,4.216320675,4.216320675,0.177948483,75.1097149,95.51407648,97.00695251,78.63732517,295782,275826.67,34153,227032,5,0,33100
Legacy National Bank,Springdale,AR,72762,6/30/16,73,371603,327930,310342,4,0,29762,0,0,61124,1253,8170,289448,5090,4644,188,33852,194,6344,56,3551,3551,295,0,96,3160,0,0,310342,3.778538675,0.379394058,2.41353408,0,0.877712096,0.883982712,7.592096833,7.592096833,0.205464846,76.86940095,92.04329417,96.47761738,83.51439574,367428,330604,42781.33,281313.33,5,0,22220
Legacy State Bank,Loganville,GA,30052,6/30/16,14,80601,75939,71034,7752,0,11870,0,8095,10989,3713,808,44349,100,735,27,19912,61,0,0,9848,9848,0,0,0,9848,0,0,71034,3.407172114,1.277401461,3.50418689,7.20E-02,0.418688997,0.597365193,10.15412511,10.15412511,0.579599981,54.3988288,61.72537095,64.13984786,88.13042022,74996,59815,4412,42098,1,0,12060
LegacyTexas Bank,Plano,TX,75024,6/30/16,850,8059678,7157308,5655135,2063,242328,549494,0,428086,1082092,40128,436070,6696588,45285,45007,1912,395295,1523,6560,101,13368,13368,33,0,11888,1447,0,0,5655135,3.877846325,0.624170238,1.944224547,0.401412199,1.229360884,1.230431316,11.12814703,11.12814703,1.56E-02,82.31586919,117.3162798,148.1334596,70.16576841,7772559,7272129.33,859406.33,6381153.33,46,0,19100
Legence Bank,Eldorado,IL,62930,6/30/16,101,304208,270113,253727,1000,0,87603,381,28188,18306,1442,0,184755,10586,7814,255,38623,204,48331,510,759,759,0,0,759,0,0,0,253727,5.111347849,1.179777458,3.947966747,0.214386873,1.541545561,1.982753745,17.63499263,-7.211163436,0.177666751,60.14174512,72.10742254,77.20900398,83.40576185,307854.67,274096,34613,185741,7,0,
Legend Bank  N.A.,Bowie,TX,76230,6/30/16,140,607811,532751,526536,2000,0,149463,0,78396,74395,0,10459,399733,8493,19319,797,47036,166,37984,799,1431,1431,0,0,104,1327,0,0,526536,4.521614924,0.872136029,3.211164538,0.195433913,1.547862603,1.574852644,13.03417616,2.015816218,0.274954362,64.83874099,74.84711397,78.05199281,86.62824464,615041.67,555288.33,74312.33,399339,10,0,
Legends Bank,Linn,MO,65051,6/30/16,76,307107,256625,251767,200,3271,59943,0,0,67985,5868,26998,224340,24258,6056,266,31264,149,29471,582,2711,2711,99,0,2612,0,0,0,251767,3.7629562,0.656799644,2.461513439,9.90E-02,1.087184938,1.087184938,6.625056592,4.601739369,0.111278673,72.23996848,88.11877649,94.16793297,81.98022188,302984.33,288762.33,49720.33,219269.33,10,0,27620
Legends Bank,Clarksville,TN,37040,6/30/16,86,405042,363907,353529,1144,724,72142,0,26171,37434,6841,5109,292662,1299,5283,145,62074,197,675,11,300,300,0,0,300,0,0,0,353529,3.993454272,0.488002042,2.96909153,2.97E-02,0.827257498,0.816636277,8.159833836,3.214479996,-4.15E-03,71.39481832,81.79781574,99.0325475,87.28205964,404096.67,366449.67,40442,289116.67,9,0,17300
Leighton State Bank,Pella,IA,50219,6/30/16,40,172168,151170,139478,80,1468,28580,0,8293,26995,256,15965,124790,2607,9472,382,19314,104,37002,462,20,20,20,0,0,0,0,0,139478,3.824645327,1.162099312,3.017401602,0.178968067,1.415100502,1.416233967,11.45624068,5.742597478,1.78E-02,71.47146973,88.22251538,93.62901753,81.01273175,167627.67,154262.67,20722.33,123869,3,0,
Lena State Bank,Lena,IL,61048,6/30/16,12,93287,83772,78756,500,0,24287,0,7581,3935,937,0,65004,289,813,40,5989,24,7152,98,0,0,0,0,0,0,0,0,78756,3.274078815,0.385260538,1.582165467,0.186137114,1.250668254,1.255343326,12.47804241,6.884437192,0,67.83796242,80.35451267,89.17007186,84.42333873,92405,87719.33,9296.33,61765.67,2,0,
Leonardville State Bank,Leonardville,KS,66449,6/30/16,11,57131,51291,51019,50,0,990,0,148,7218,0,1583,49961,888,1703,68,4386,19,6483,43,0,0,0,0,0,0,0,0,51019,5.202899029,0.217544709,3.857533855,0.586593768,0.454513052,0.66040358,5.901415125,5.901415125,4.70E-03,86.20888834,96.53658441,110.1489466,89.30178012,51483.67,46320.33,5761.33,42550.67,2,0,31740
Level One Bank,Farmington Hills,MI,48334,6/30/16,202,1041235,937210,917832,1000,28712,63514,0,38681,133524,27215,65894,890727,952,7136,258,178714,768,0,0,43,43,43,0,0,0,0,0,917832,4.637475267,0.499346045,3.337954679,8.78E-02,0.900219933,1.00687482,10.1205306,-17.96419258,-1.80E-02,84.7379314,96.13099129,113.9316659,88.1484007,1002110.67,947843.33,99698.33,844966.33,12,0,19820
Lewis & Clark Bank,Oregon City,OR,97045,6/30/16,24,164629,145880,135414,13808,0,0,0,0,23658,4286,12336,137742,242,747,17,23301,94,0,0,0,0,0,0,0,0,0,0,135414,4.437158176,0.214965068,2.840788372,0,0.941097072,0.941097072,8.155970755,6.877877065,0,82.50976438,100.3108984,121.6756093,82.25403787,160026,148834,18465,130713.33,1,0,38900
