name,city,stalp,zip,repdte,number_of_employees,asset,liabilities,deposits,common_stock,derivatives,total_securities,asset_backed_securities,mortgage_backed_securities,1_4_family_residential_loans,home_equity_loans,adjustable_rate_loans_secured_by_1-4_family_residential,total_loans,individual_loans,micro_amount,micro_number,small_business_amount,small_business_number,agg_amount,agg_number,other_real_estate_owned,real_estate_acquired,other_real_estate_owned_1-4_family,other_real_estate_owned_multi-family_residential,other_real_estate_owned_commercial_real_estate,other_real_estate_owned_construction_development,other_real_estate_owned_farmland,foreclosed_properties_from_GNMA_loans,total_deposits,net_interest_margin,noninterest_income_to_average_assets,noninterest_expense_to_average_assets,loan_and_lease_loss_provision_to_assets,net_operating_income_to_assets,roa,roe,retained_earnings_to_average_equity,net_charge_offs_to_loans,net_loans_and_leases_to_total_assets,net_loans_and_leases_to_deposits,net_loans_and_leases_to_core_deposits,total_domestic_deposits_to_total_assets,average_total_assets,average_earning_assets,average_equity,average_total_loans,number_domestic_offices,number_of_offices_in_insured_other_areas,cbsa_metro
AbbyBank,Abbotsford,WI,54405,6/30/16,76,342026,308399,302980,3000,2245,47146,0,25153,61446,6520,6373,258283,1290,6905,270,40505,179,41607,530,190,190,0,0,190,0,0,0,302980,3.561347994,0.347163357,2.341430549,3.55E-02,0.87589256,0.87589256,8.96163621,4.120779378,2.38E-02,74.38791203,83.97451977,89.26382413,88.58390883,338169.33,317913.33,33052,260134.67,4,0,48140
ABC Bank,Chicago,IL,60644,6/30/16,88,334322,294972,259607,1875,8290,77231,5321,26592,41456,6296,75,236767,1773,3789,150,72374,239,0,0,1078,1078,0,255,823,0,0,0,259607,4.019419115,0.644472189,3.271148091,0.451732843,0.74221513,0.937797381,8.024807323,3.638737296,0.518672045,69.37114518,89.33618893,102.9067497,77.65178481,332054.67,316115.33,38804.67,235601.67,5,0,16980
Abington Bank,Abington,MA,2351,6/30/16,25,132230,120556,110161,0,0,14920,0,4414,64006,4277,28789,103682,162,620,17,20895,60,0,0,0,0,0,0,0,0,0,0,110161,3.541763674,0.390795612,2.977923153,0,0.477209913,0.480163601,5.529873528,5.529873528,1.94E-03,77.76828254,93.34791805,95.91377992,83.31014142,132038.33,123723.67,11465,103291.33,1,0,14460
Academy Bank  National Association,Colorado Springs,CO,80920,6/30/16,732,1035119,852254,737806,12000,10824,220951,0,217581,104132,19071,28545,659249,12464,533,23,28472,116,94,2,1033,1033,0,0,751,282,0,0,737806,3.197677978,6.06918177,7.368607885,0.414144004,0.739061668,0.74171219,4.169052935,4.169052935,0.895570986,62.64216964,87.88502669,96.4593542,71.27740868,1014140,928611.33,180424.67,632669,89,0,17820
ACB Bank,Cherokee,OK,73728,6/30/16,21,112559,102921,90807,300,0,15515,0,3338,11286,0,1648,90033,3010,5288,218,16639,73,24601,337,0,0,0,0,0,0,0,0,90807,4.992486279,0.501236429,2.404481998,0.544822205,2.177472746,2.192001338,25.20885547,2.548036759,-0.274181949,78.50460647,97.30967877,103.4319693,80.67502377,110127.67,102033.33,9576,88992,3,0,
Access Bank,Omaha,NE,68114,6/30/16,63,297418,262511,233874,789,2416,49906,0,39722,32285,6115,260,229726,5686,3363,190,49543,206,269,3,0,0,0,0,0,0,0,0,233874,3.750885802,0.327113212,2.966744672,0.22794626,0.523326047,0.527513096,4.458932417,4.458932417,3.27E-02,76.13930562,96.82649632,113.3955263,78.63478337,290419.33,275188.33,34358,214269.67,5,0,36540
Access National Bank,Reston,VA,20191,6/30/16,257,1304255,1196490,1054861,5850,159349,180749,9070,110310,263640,43893,99424,997845,9100,4720,112,187082,613,163,1,500,500,0,0,0,500,0,0,1054861,3.70256317,2.52171113,3.662280506,1.95E-02,1.534788502,1.546281794,18.38764185,10.67146818,-3.13E-02,75.44621259,93.28347526,122.7284576,80.87843252,1232893,1166867.33,103678.33,964705,5,0,47900
AccessBank Texas,Denton,TX,76201,6/30/16,48,277554,245395,245154,3311,798,31267,0,30373,41702,203,10082,222633,4323,7041,225,59726,231,1812,18,452,452,0,0,0,452,0,0,245154,3.576132104,0.368611674,2.599544086,0.15322338,0.669805061,0.669805061,5.531853352,5.531853352,-3.24E-02,79.56866051,90.08459988,102.595478,88.32659591,228424.67,217162,27658,179255.33,3,0,19100
ACNB Bank,Gettysburg,PA,17325,6/30/16,271,1157164,1057328,928686,4798,0,175969,0,74657,412494,64177,89239,867787,14501,10956,365,123295,499,14639,118,730,730,421,0,0,63,246,0,928686,3.434413902,0.743266548,2.644609503,0,0.915972886,0.915972886,10.70272368,5.765990257,2.57E-02,73.72775164,91.86646509,94.93928522,80.25534842,1144138.67,1049262,97919,863477,22,0,23900
Adams Bank & Trust,Ogallala,NE,69153,6/30/16,163,686206,613528,573270,3000,0,43902,0,1,85965,6441,4641,609668,12221,25507,881,96483,387,132696,1161,1158,1158,25,0,553,580,0,0,573270,4.440254327,0.836193073,3.291671199,0.155126792,1.144164504,1.145253374,10.61269296,-1.827296184,-3.89E-02,87.57719985,104.8301847,118.2110197,83.54196845,670419.33,630054,72347.33,585931.67,19,0,
Adams Community Bank,Adams,MA,1220,6/30/16,96,476917,426742,396710,0,0,40883,0,21579,319967,31141,112612,384920,9238,6096,287,22899,132,0,0,584,584,243,0,213,128,0,0,396710,3.3760036,0.706088417,2.985576488,9.45E-02,0.594667412,0.594667412,5.705454783,5.705454783,5.72E-02,80.00616459,96.18184568,100.9412574,83.18218893,473878.33,429442.67,49391.33,377653,8,0,38340
Adams County Bank,Kenesaw,NE,68956,6/30/16,16,166250,153380,108971,400,0,53283,0,17584,7619,45,125,99337,1707,1368,48,5556,32,26586,230,0,0,0,0,0,0,0,0,108971,2.782595581,0.123031059,1.3734525,0,1.337962771,1.337962771,18.00812037,4.888145848,2.01E-03,59.15007519,90.24144038,110.170403,65.54646617,169063,159132,12561,99368.67,2,0,
Adams County Building and Loan Company,West Union,OH,45693,6/30/16,5,24342,19880,19821,0,0,6250,0,0,8990,0,0,13547,56,13,1,717,3,3620,37,152,152,152,0,0,0,0,0,19821,3.685515169,0.115898837,3.303116851,0,0.240076162,0.761620928,4.226649484,4.226649484,0,54.83115603,67.33767217,67.33767217,81.42716293,24159,22466.33,4353.33,13078,2,0,
Adams Dairy Bank,Blue Springs,MO,64014,6/30/16,16,112637,102674,93673,4000,0,17200,0,0,31586,2019,21155,73220,795,806,23,14143,41,402,5,545,545,0,0,0,545,0,0,93673,3.476145468,0.471287993,2.449978041,0,0.798671256,0.798671256,8.986944641,2.914684749,0,64.16364072,77.15350208,88.28192756,83.16361409,111184.67,101664.33,9881,71279.33,1,0,28140
Adams State Bank,Adams,NE,68301,6/30/16,8,49376,39997,35971,100,0,9012,0,0,7378,0,0,32968,2022,1723,79,843,5,15740,219,0,0,0,0,0,0,0,0,35971,3.51940075,0.288392213,1.982696467,0,1.558759913,1.590162621,8.581622143,2.204850022,-7.28E-02,66.30346727,91.01220428,94.8570104,72.85118276,49932,46655.67,9252.33,32967.33,1,0,
